question,label,correct_answer,option_2,option_3,option_4,option_5,
"16. A new system must be delivered completely to the client by a given date. There should not be any partial deliveries. Further, the system architecture and design must be fully defined before any coding began. Which of the following are suitable models to develop this system?A - waterfall B - spiral C - agile",,) A only               ,A and B only                   ,A and C only                  ,B and C only               ,"All A, B and C",
"17. During the feasibility analysis of a software development project, it was discovered that the development team does not have the knowledge and the skills to develop the software. Which component of the feasibility study would have identified this issue?",,technical feasibility,economic feasibility,legal feasibility ,legal feasibility ,schedule feasibility,
18. Which of the following shows the correct order of stages in the System Development Life Cycle?,,"Feasibility study,  Requirements analysis , System design , Implementation , Testing ,  Deployment"," Feasibility study , System design , Requirements analysis , Implementation , Testing , Deployment","Requirements analysis , Feasibility study , System design , Testing , Deployment , Implementation","Requirements analysis , System design , Feasibility study , Deployment ,Testing , Implementation","System design , Requirements analysis , Feasibility study , Implementation , Testing , Deployment",
19. Which of the following is not true regarding the prototyping technique used in system development?,,"Prototypes need to be approved by the users, during the 'system testing' phase.", Prototyping is neither necessary nor appropriate in every project., Successful prototyping helps to develop a system that better addresses user needs and expectations.,Successful prototyping helps to eliminate costly late changes to a system.,"To get the benefits of prototyping, user feedback on the prototypes is extremely important.",
20. Which of the following statements regarding software tests are correct? A – White-box tests involve testing the internal structures and workings of a software.  B – Unit tests are usually performed after the system test. C – System developers should take every effort to make the acceptance test successful. ,,A and C only    ,A only   ,A and B only    ,B and C only     ,"All A, B and C",
21. Which of the following contains the suitable replacements for the above blanks?,,A – DISPLAY existing bookings B – GET date/time C – GET NIC number D – Complete user's credit/debit card payment ,A – DISPLAY existing bookings B – GET date/time C – Complete user's credit/debit card payment D – GET NIC number ,A – DISPLAY existing bookings B – GET NIC number C – Complete user's credit/debit card payment D – GET date/time ,A – GET date/time B – DISPLAY existing bookings C – GET NIC number D – Complete user's credit/debit card payment ,A – GET NIC number B – DISPLAY existing bookings C – GET date/time D – Complete user's credit/debit card payment,
22. Which of the following suggestions about the above system is not suitable? ,,Each time a student is making a reservation he/she should be required to enter his/her home address. ,The list of reservations for a given date should be provided when needed. ,It is suitable to check the validity of the NIC number.,Reservations should not clash with school times.,"For fairness, the number of reservations that a particular NIC number is allowed per day should be limited.",
"23. Consider the following relation about a student who is registered in a programme at an institute: STUDENT(Sno, Snic, Sname, Sphone, Prog_number) Note: Sno - the unique registration number of the student  Snic - the national identity card number of the student Sname - the name of the student Sphone - a phone number of the student  Prog_number - the unique number of the programme for which the student has registered Which of the following are correct? A – Sno can be the primary key. B – Snic can be a candidate key. C – Prog_number can be a foreign key. ",,A and B only                 ,A only            ,A and C only                  ,B and C only            ,"All A, B and C",
24. Which of the following are true?A – A table can have multiple candidate keys. B – A primary key is always a candidate key.C – A candidate key of one table can be used as a foreign key in another table.,,"All A, B and C",A only         ,A and B only        ,A and C only             ,B and C only             ,
"25. Which of the following are examples of one-to many relationships?A – A customer can place many orders, but each order is placed by only one customer. B – An employee can be assigned to multiple projects, and each project can have multiple employees. C – One department has one manager, and each manager manages multiple departments.  D – A supplier can supply only one item, and an item can be supplied by only one supplier.",,A and C only          ,A and B only     ,A and D only            ,B and C only         ,C and D only,
26. Which of the following will change all occurrences of ‘Mahawa’ in the ‘City’ attribute of USER in relation to ‘Maho’? ,,UPDATE USER SET City = 'Maho' WHERE City = 'Mahawa'; ,MODIFY USER SET City = 'Maho' WHERE City = 'Mahawa';,MODIFY USER SET City = 'Mahawa' INTO City = 'Maho'; ,UPDATE USER SET City = 'Mahawa' INTO City = 'Maho'; ,UPDATE USER SET City = 'Maho' WHERE City != 'Mahawa';,
27. Which of the following lists the given SQL statement clauses in the correct order? ,," SELECT, FROM, WHERE, GROUP BY, HAVING","SELECT, GROUP BY, HAVING, FROM, WHERE","SELECT, HAVING, FROM, WHERE, GROUP BY","SELECT, WHERE, GROUP BY, HAVING, FROM ","SELECT,WHERE,HAVING,GROUP BY,FROM",
28.One of the principal inventors of the Electronic Numerical Integrator and Computer (ENIAC) was ,,John Presper Eckert,Blaise Pascal,Charles Babbage,John Von Neumann,Ada Augesta Lovelace,
29. What is the primary purpose of an HTML style sheet? ,,to apply formatting and styles to HTML elements. ,to create databases for a website. , to define the structure of a webpage.,to send form data to databases. ,to update the content of a webpage,
30. Which of the following can be used to change the look of an entire website by changing just one file? A – externalCSS. B – inline CSS. C – internal CSS.                              ,,A only ,A and B only ,A and C only ,B and C only ,All,
31. For what purpose is POST used in an HTML form? ,,to send form data to the server,to display a confirmation message after form submission ,to refresh the web page ,,to retrieve data from the server ,
"32.Consider the following statements P and Q: Which of the following is valid regarding the above two statements? P – A qubit of a quantum computer can have a higher number of states than a bit of a traditional computer. Q – Quantum computing promises to perform calculations, currently beyond traditional computer’s reach, at incredible speeds. ",,Both statements P and Q are correct and statement P gives the reason for Statement Q. ,Both Statements P and Q are correct but the points presented in the two statements are not related. ,Statement P is correct but statement Q is incorrect. ,Statement P is incorrect but statement Q is correct.,Both statements P and Q are incorrect.,
33.Which of the following statements are correct? A– Word processors and spreadsheet software belong to the category of utility software. B – A compiler is an example for a program translator.C – It is illegal to use a proprietary software without obtaining its license. ,,B and C only,A only        ,B only            ,C only               ,A and B only            ,
"34.The existing book management system in a school library is used with a computer, a monitor, a keyboard and a mouse. The school management wants to minimize the time taken presently for book lending/returning. Which of the following is most suitable for this purpose?",,Using bar code technology,Using a digitizer ,Using an external hard disk ,Using a touch screen ,Using a magnetic stripe reader ,
35.A program runs fastest when the data it requires are in the,,magnetic tape.          ,hard disk.          ,L1 cache,L2 cache,main memory.,
36. What is the correct binary equivalent of decimal 13.12510? ,,1101.001,1100.001,1100.1,1101.1,1101.101,
37. Which of the following are equivalent to octal 6748? A– 110 111 1002 B – 44410 C – 2BC16 ,,A and C only           ,A only       ,A and B only          ,B and C only           ,"All A, B and C",
38.The address of an instruction was shown as 5A1 in hexadecimal. What is that address in decimal?,,1457,41,1441,2641,23056,
39. Which of the following statements are true?A- One of the uses of encryption is to ensure confidentiality of transmitted data.B - Every user needs to have a pair of dissimilar keys when using Asymmetric Key Encryption.C - Users must share a common key when exchanging information using Symmetric Key Encryption.,,A only     ,A and B only  ,A and C only    ,B and C only   ,All,
40. Which of the following is considered as an erroneously received byte in an even parity system?,,11011001,1010101,10010011,10110010,11010111,
41. Which of the following statements regarding DNS (Domain Name System) are correct?A– It maps web addresses to IP addresses and vice versa. B – HTTP uses the services provided by the DNS. C – DNS maintains a hierarchy of domain names.,,All,A only          ,A and B only          ,A and C only            ,B and C only              ,
"42. Which of the following statements regarding IP addresses are correct? A– In class C networks, first octet value ranges from 192 through 223. B – IPv4 can assign addresses up to 4 million devices. C – 192.168.0.0 – 192.168.255.255 is a private IP address range. ",,A and C only,A only          ,B only         ,C only         ,A and B only        ,
43. Which of the following is a non-functional requirement for an e-commerce site?,,The e-commerce site to be accessible through popular web browsers,Being able to add items to the shopping cart,Being able to make payments online ,Being able to view the items based on item category ,Each item to be shown with a small image and a description ,
"44. During which of the following is an application tested by its developers in a setting that closely resembles its intended deployment hardware, software, and network configuration environment?",,System testing,Acceptance testing ,Integration testing ,Parallel testing,Unit testing,
"45. A company considers developing a new software application for its use. The application is expected to re-engineer internal processes, improve collaboration, and enhance productivity. However, during the feasibility analysis, it was identified that the new software may face some resistance from employees who are accustomed to the existing processes. Which component of the feasibility study would have helped to get that information? ",,operational feasibility,economic feasibility ,legal feasibility,schedule feasibility,technical feasibility,
46. Which of the following is incorrect about the waterfall model of software development? ,,It allows developers to collect and implement requirements throughout the project. ,It is not an iterative model. ,It is suitable for software with well defined requirements. ,It is easy to estimate the resources needed for a project. ,No working product is available until the latter stages of the project.,
"47. In addition to the required features, which of the following should also be considered when a government institution selects a Commercial Off-The-Shelf (COTS) software to be implemented island wide?A– cost to deploy, maintain, upgrade and modify B – ease of integration with existing systems C – after sales service from the vendor",,A only          ,A and B only            ,A and C only              ,B and C only            ,"All A, B and C",
"48. Which of the following statements are correct?A– One farmer can have many tasks. B – One adviser can advise many tasks. C – For one task, a farmer can have many advisers. ",,"All A, B and C",A only ,A and B only ,A and C only,B and C only,
49.Which of the following statements are correct with respect to the given relations? A– All relations are in 3rd normal form. B – The startDate attribute in the task relation is a derived attribute. C – adNIC is a candidate key in the adviser relation. ,,B and C only        ,A only          ,A and B only             ,A and C only             ,"All A, B and C",
50. Which of the following statements regarding Search Engine Optimization (SEO) are correct? A– Meta tags on web pages help SEO. B – It increases the visibility of a web page in search engines. C – Powerful computers should be used to create SEO friendly web pages. ,,A and B only            ,A only            ,A and C only           ,B and C only        ,"All A, B and C",
51. Which of the following statements is true with respect to programming languages? ,,Assembly language is more human readable form of machine language. ,Machine languages belong to the second generation programming languages.,Assembly language programs can run directly on any computer. ,Assembly languages belong to the first generation programming languages. ,Machine language programs can be translated into assembly language programs by using assemblers.,
"52. Which of the data structures among Dictionary, List and Tuple in Python could be used to store a collection of key-value pairs where the keys must be unique?",,Dictionary only ,List only ,Tuple only,Dictionary and List only,List and Tuple only,
53. Consider the following HTML code line related to a form:The “action” attribute in it  ,,specifies the server file that handles the data in the form. ,specifies the data type of the form.,controls the form's alignment on the web page.,declares the form as a PHP script.,shows the process.php file on the screen.,
54. Saman’s father is a carpenter. He wants to showcase his father’s work on a website. Which of the following hosting options should Saman use in order to do it with a price that he can afford? ,,Hosting it on a server that presents other websites also (shared hosting) ,Hosting it on a Virtual Private Server (VPS), Hosting it on a server dedicated to Saman (dedicated hosting) ,Using an e-Commerce website,Using the services of a well known cloud service provider,
55. What is the primary role of a sensor in an IoT device?,,To detect a state change in the environment,To provide outputs and change a state of the environment,To ensure interoperability of devices ,To make decisions based on predetermined rules ,To generate graphics for the user interface,
56. Which of the following statements is/are correct? A – Firmware is a computer program that is usually embedded in the volatile memory of a computer. B – A printer driver is an example for an application software. C – Linux is an example for a system software.,,C only           ,A only          ,B only            ,A and B only           ,B and C only,
57. Which of the following require(s) real-time processing? A – generating monthly electricity bills of customers  B – updating the bank account balance of a customer when she/he withdraws money from an ATM C – updating the stock balance in a store upon successful completion of each transaction,,B and C only,A only,B only            ,C only               ,A and B only            ,
58. Which of the following lists a computer memory hierarchy in the descending order of access speed? ,," (4) registers, L1 cache, L2 cache, main memory, hard disk ","hard disk, registers, L2 cache, L1 cache, main memory ","main memory, L1 cache, registers, L2 cache, hard disk","registers, main memory, hard disk, L1 cache, L2 cache","L1 cache, L2 cache, registers, main memory, hard disk",
59. Which of the following gives the correct results of bit-wise AND and bit-wise OR operations between the two binary numbers 010101002 and 111010012 respectively? ,,"010000002, 111111012 ","000000102, 101110012 ","101111012, 110010102","110000002, 001011002","111111012, 010100112",
60. What is the correct binary equivalent of decimal 12.7510? ,,1100.112,1011.012,1011.112,1100.002,1100.012,
61. What is the correct 2’s complement binary representation of decimal –4110 using 8-bits? ,,11010111,101001,1010110,10101001,11010110,
"62.A particular command can be used to output a text file in its binary format. Assume a file contains the following text: 0 Waste!Referring the Important notes (i) and (ii) given below, select the correct output that will result when the said command is run on that file. ",,00110000 00100000 01010111 01100001 01110011 01110100 01100101 00100001 00001010,00110000 00100000 01010111 01100001 01110011 01110100 01100101 00001010 ,00110000 01010111 01100001 01110011 01110100 01100101 00100001 00001010,00110000 00100000 01110111 01100001 01110011 01110100 01100101 00100001 00001010,00110000 00100000 01010111 01100001 01110011 01110100 01100101 00100000 00001010,
63. Which of the following is not a task of a computer operating system? ,,monitoring the usage of binary files on a hard disk ,selecting a memory frame for a page of a process,maintaining a list of free memory frames,maintaining a page table for each process ,swapping processes between main memory and hard disk,
64. Which of the following are Transport Layer protocols of the TCP/IP stack? A – Transmission Control Protocol (TCP) B – User Datagram Protocol (UDP) C – File Transfer Protocol (FTP) D – Internet Protocol (IP),,A and B only ,A and C only ,B and C only,B and D only ,"All A, B, C and D",
65. Which of the following statements is/are correct about MAC and IPv4 addresses? A – MAC addresses are 32 bits in length and are used in the network layer.B – MAC addresses. are 48 bits in length and are used in the datalink layer. C – IPv4 addresses are 32 bits in length and are used in the network layer.,,B and C only,B only         ,C only           ,A and C only         ,A only,
"66. Which of the following is/are correct regarding a firewall? A – It can monitor and filter outgoing traffic from an internal network. B – It protects a network from unauthorized accesses. C – It can be a hardware, a software or a combination of both. ",,"All A, B and C",A only          ,A and B only           ,A and C only            ,B and C only             ,
"67. An organization with the assigned IP address block 193.1.1.0/24 needs to define eight subnets. Each subnet should provide for more than 25 IP addresses. Which of the following correctly lists the number of bits needed to identify the given network, the total number of bits needed to identify the subnets, and the number of bits needed to assign unique IP addresses for this requirement, respectively?",,"24, 3,5          ","24, 5, 3            ","24, 27, 5              ","27, 3,5             ","27, 30, 2",
68. Which of the following statements is correct regarding network topologies?,," In ring topology, each node is directly connected only to two of its neighbors. ","In bus topology, a central network hub is used to connect all nodes. ","In star topology, a linear cable is used to connect all nodes. ","In ring topology, messages are sent only clockwise. ","In mesh topology, each node is always connected to one other node only.",
"69. Which of the following statements is/are correct? A – A digital signature ensures the authenticity of a message.B – In asymmetric key encryption, different keys are used for encryption and decryption. C – The encryption process transforms plaintext to ciphertext. ",,C only                ,A only              ,B only               ,A and B only            ,"All A, B and C",
"70. Which of the following statements is/are correct regarding System Development Life Cycle (SDLC) models? A – In the agile model, small portions of systematically developed working software are delivered to the client frequently. B – Late changes in the requirements can be easily accommodated in the waterfall model. C – Prototyping model can be practiced without client interactions.",,A only             ,B only              ,C only                ,A and B only             ,A and C only,
71. Non-functional requirements specify quality attributes of a system. Which of the following is an example for a non-functional requirement? ,,each page of the website must load within 4 seconds,the email system should allow users to attach files ,administrator of the E-commerce website should be able to view a list of customers ,a user of the online banking system should be able to view the last transactions ,the ATM machine should allow users to print a receipt,
72. Which of the following statements is correct regarding software testing?,,Black-box testing techniques are usually used in acceptance testing.,Integration testing is usually carried out before unit testing. ,White box testing examines the be haviour of a software based only on the inputs to a system.,Unit testing examines the entire system’s functionality as a whole.,System testing is usually carried out after the user acceptance testing.,
73. Which of the following is correct regarding the Order relation? ,,The relation is in First Normal Form (1NF). ,CusId attribute uniquely identifies each tuple in the relation. ,The relation is in Second Normal Form (2NF). ,Orders of each customer are handled by a unique salesperson. ,The relation consists of a composite primary key.,
"74. Which of the following statements is/are correct regarding the normalization concept? A – In first normal form, atomic attributes are removed from a relation. B – In second normal form, partial dependency of attributes on the primary key are removed. C – In third normal form, transitive dependency of attributes are removed.",,B and C only            ,B only          ,A and B only          ,A and C only               ,"All A, B and C",
75.Which of the following statements is/are correct regarding HTML and CSS? A – CSS can be used to describe how HTML elements are to be displayed on screen. B – External CSS can be used to define the style for many HTML pages.C – Inline CSS can be used to apply a style to a single HTML element.,,"All A, B and C",A only          ,A and B only             ,A and C only                ,B and C only              ,
76. Which of the following statements is/are correct? A – Quantum computing could be an alternative to overcome the limitations of the existing microprocessors. B – Natural phenomena such as the behavior of ant colonies could be used to develop new computing models to solve complex problems. C – An inference engine of an expert system utilizes the facts in a knowledge base to support decision making.,,"All A, B and C",A only           ,A and B only                ,A and C only                  ,B and C only           ,
77. Which of the following statements is/are correct? A – E-Commerce encourages to minimize physical interactions between buyers and sellers.B – The main purpose of sending a One Time Password (OTP) to a credit card holder’s mobile phone during an online payment is to identify the current location of the card owner. C – Bitcoin is a leading virtual currency.,,A and C only             ,A only            ,B only            ,C only               ,B and C only,
78. Which of the following pairs contains types of software that are different with respect to ownership / licensing? ,Proprietary software and open-source software ,Application software and open-source software ,Application software and utility software,Proprietary software and systems software,,Systems software and utility software,
79. Which of the following is a good example for batch processing?,,payroll system,an air traffic control system ,driving system in a driver-less (autonomous) car ,Intensive Care Unit (ICU) patient monitoring and care system ,nuclear plant control system,
"80. Consider the following paragraph: To run a program, the program code is copied from .......A......... into .......B......... The Central Processing Unit’s (CPU’s) program counter register is set to the memory location where the first instruction of the program has been saved and execution of the program starts. The .....C...... implements the fetch-decode execute cycle. Which of the following is the correct combination for A, B and C? ",,"A - secondary storage, B - primary memory, C – CPU","A - CPU, B- primary memory, C - secondary storage ","A - CPU, B - secondary storage, C - primary memory","A - primary memory, B - secondary storage, C - CPU ","A - secondary storage, B - CPU, C - primary memory ",
81. What is the correct result of bit-wise XOR operation between the two binary numbers 010111002 and 111110012 ? ,,10100101,1000010,1011000,1011010,11111101,
82. What is the correct 2’s complement binary representation of decimal - 3210 using 8-bits? ,,11100000,100000,10100000,11011111,11100001,
83. What is the correct decimal equivalent of hexadecimal 88.816?,,136.51,88.51,88.81,129.51,136.81,
84. A page table is ,,an operating system data structure that keeps virtual to physical address mapping of a process’ pages. ,a computer hardware unit through which all memory references pass.,a data structure that keeps information about the pages that are in processor caches.,a hardware component in memory that facilitates page movement.,a piece of processor hardware that keeps a count of the number of pages of a process that are in virtual memory.,
85. Which of the following is/are correct with respect to a digital signal? A - denoted by a square wave. B - contains a continuous range of values. C - uses discrete values to represent information. ,,A and C only,A only             ,B only                ,C only                ,A and B only           ,
86. Which of the following is/are correct with respect to guided media used for data transmission? A - a physical path is used for data transmission.B - signal is broadcast through air.C - Example: radio waves ,,A only ,A and B only ,A and C only ,B and C only,"All A, B and C",
87. Which of the following could be used to digitally represent analog signals? ,,pulse code modulation,synchronization,attenuation,decoding ,distortion,
"88. Read the following sentence: When devices send and receive data over a network, a protocol is used uniquely identify the sender interface and the correct delivery of the data to the receiver’s interface. What is the protocol that the writer in above sentence is referring to? ",,MAC,FTP,HTTP ,TCP ,UDP,
89. Given below are some characteristics of Transmission Control Protocol (TCP) and User Datagram Protocol (UDP) :A - best suited for applications that need high reliability and where the transmission time is less critical. B - faster and requires fewer resources.  C - guarantees that no packets are missing. D - packets may not arrive in order. E - used for voice communications over internet Which of the above are the characteristics of UDP? ,,"B, D and E only","A, B and C only ","A, C and E only","A, D and E only","B, C and D only ",
"90. Consider the following paragraph with three blanks labelled A, B and C: When there are multiple computers in an office, each computer can be given a private IP address. The router in the office gets a .....A...... IP address, and each of the computers connected to that router through guided/unguided media gets a private IP address from the .....B...... via the ....C.... protocol. Which of the following is the correct combination for the blanks A, B and C?",,"A - public, B - router, C – DHCP","A - private, B - file server, C - HTTP ","A - private, B - Internet, C – DHCP","A - private, B - router, C - FTP ","A - public, B - file server, C - FTP ",
91. Which of the following is incorrect about the Agile Method?,,It cannot be used when the project has a fixed set of requirements. ,It recommends a time sliced schedule for task completion. ,It delivers gradual builds of the working product in an iterative manner.,The product of each build is tested independently.,"It facilitates stakeholders (e.g., buyer, user) to review progress and provide feedback at every phase.",
92. Which of the following statements is/are correct with respect to Object Oriented Programming? A - System output is determined by the object behavior and their interactions.B - System is modelled as a collection of objects.C - Writing a program in this method is different from writing one according to the structured programming method. ,,"All A, B and C",A only ,B only,C only,A and C only ,
93. Which of the following lists the activities of Structured System Analysis and Design Methodology (SSADM) in the correct order? ,,"Feasibility study, Requirements analysis, Requirement specification, Logical system specification, Physical design ","Feasibility study, Physical design, Requirement analysis, Requirement specification, System development ","Feasibility study, Requirement specification, Requirements analysis, Logical system specification, Physical design ","Requirements analysis, Logical system specification, Feasibility study, Requirement specification, Physical design ","Requirements analysis, Requirement specification, Feasibility study, Physical design, System development",
94. Above Level-1 DFD was later improved so that a data store (D1) was connected to the process labelled R. What could be this data store?,,Passenger details ,NIC data,Taxi driver details ,Weather records,Travel cost details,
95. Which of the following gives a suitable order of activities to follow when developing a system that involves a database? ,,"Draw the DFD, Draw the ER diagrams, Design the database, Write the pseudo-code, Do the coding ","Design the database, Draw the DFD, Draw the ER diagrams, Do the coding, Write the pseudo-code","Design the database, Write the pseudo-code, Draw the ER diagrams, Draw the DFD, Do the coding","Do the coding, Write the pseudo-code, Design the database, Draw the ER diagrams, Draw the DFD","Draw the ER diagrams, Do the coding, Write the pseudo-code, Design the database, Draw the DFD",
96. Which of the following statements is/are correct about acceptance testing? A - Acceptance testing is done when the user requirements of the software are analysed. B - An essential activity in acceptance testing is checking through the conditional statements and loops in the code. C - Users may refuse to accept the software after the Acceptance Test.,,C only ,B only ,A and C only ,"All A, B and C",,
97.Which of the following is incorrect about the Agile Method?,,It cannot be used when the project has a fixed set of requirements. ,It recommends a time sliced schedule for task completion.,It delivers gradual builds of the working product in an iterative manner.,"It facilitates stakeholders (e.g., buyer, user) to review progress and provide feedback at every phase. ",The product of each build is tested independently.,
98. Which of the following statements is/are correct with respect to Object Oriented Programming?A - System output is determined by the object behaviour and their interactions.B - System is modelled as a collection of objects. C - Writing a program in this method is different from writing one according to the structured programming method. ,,"All A, B and C",A only,B only ,C only ,A and C only ,
99. Which of the following lists the activities of Structured System Analysis and Design Methodology (SSADM) in the correct order? ,,"Feasibility study, Requirements analysis, Requirement specification, Logical system specification, Physical design","Feasibility study, Physical design, Requirement analysis, Requirement specification, System development ","Feasibility study, Requirement specification, Requirements analysis, Logical system specification, Physical design ","Requirements analysis, Logical system specification, Feasibility study, Requirement specification, Physical design ","Requirements analysis, Requirement specification, Feasibility study, Physical design, System development",
100. Which of the following gives a suitable order of activities to follow when developing a system that involves a database?,,"Draw the DFD, Draw the ER diagrams, Design the database, Write the pseudo-code, Do the coding","Design the database, Draw the DFD, Draw the ER diagrams, Do the coding, Write the pseudo-code","Design the database, Write the pseudo-code, Draw the ER diagrams, Draw the DFD, Do the coding","Do the coding, Write the pseudo-code, Design the database, Draw the ER diagrams, Draw the DFD","Draw the ER diagrams, Do the coding, Write the pseudo-code, Design the database, Draw the DFD",
101. A computer processor will operate fastest when the data that it wants is in the ,,cache memory.,hard disk. ,magnetic tape. ,main memory. ,optical disk.,
102. Which of the following hardware components will lose data when the power to a computer is switched off?A - registers B - cache memory C - main memory,,"All A, B and C",A only ,A and B only,A and C only,B and C only,
103. Computer has evolved from the early main frames to the relatively small smart devices with high computing power used today. Which of the following inventions contributed to reduce the physical size of computers? ,,integrated circuits ,registers ,solid state memory ,,vacuum tube,
"104. Consider the two binary numbers P = 10110001 and Q = 01001110. If X = P OR Q and Y = P AND Q, what will be the values of X and Y respectively?",,"11111111, 00000000 ","01001110, 10110001 ","10110001, 00000000 ","10110001, 11111111 ","11111111, 10110001",
105. Which of the following is true about 2’s complement? 7. Which of the following is true about 2’s complement? ,,"Makes it possible to build low-cost, high-speed hardware to perform arithmetic operations.",An extra bit is used to represent the sign. ,Addition and subtraction are used as two different operations. ,Usually represented in hexadecimal number system. ,Used in first generation computers to perform logic operations.,
106. Some provinces in Sri Lanka currently issue revenue license for motor vehicles online. Which of the following is the correct business type for this service?,,G2C,B2C, B2B,C2B,B2E,
"107. The operating system (OS) is another program that runs on the computer that has some special responsibilities. Memory management, file management and input/output management are some of these responsibilities. What is another important responsibility of the OS?",,process management,cache memory management,backup management,compiler management ,system clock management,
"108. When the number of processes started by a user on a single-processor computer increases, what happens to the response time of each process as perceived by the user and the memory management related work of the operating system respectively?",,Both the response time and the memory management related work increase. ,Response time decreases while the memory management related work increases. ,Response time increases while the memory management related work decreases. ,Both the response time and the memory management related work decrease.,There is no change in either of them,
109. Which of the following is not a responsibility of the operating system? ,,keeping track of the usage of compiled program files on a hard disk ,allocating physical memory to processes ,deciding which process to run ,"keeping track of which parts of physical memory are in use, which are free ",,swapping processes between physical memory and disk
"110. In a computer, the size of a user program could exceed the size of physical memory. Also, only the demanded areas of programs are kept in physical memory. The above are due to which of the following?",,"the use of pages, frames and page tables",the use of cache memory,the use of contiguous file allocation ,the use of a file allocation table (FAT) ,the use of memory management unit (MMU) ,
111. Which of the following statements regarding compilers and interpreters are correct? A - A compiler transforms an entire high-level language program into its machine code. B - An interpreter converts each high-level program statement into the relevant machine code during the program run. C - Compiled codes usually run faster than interpreted codes. ,,"All A, B and C",A only ,A and B only ,A and C only ,B and C only,
112. What is the process carried-out in the modulation technique in data transmission?  ,,encoding information in transmitted signal ,encoding signals in transmitted information ,extracting information from the transmitted signal ,extracting signal from the transmitted information,transfer information with minimum distortion,
113. Consider the following statement with a blank. A Media Access Control (MAC) address is usually represented in ........................ numbers. Which of the following is suitable to fill the blank? ,,hexadecimal , binary,decimal,natural,octal,
114. Which of the following statement/s regarding the testing of a system are correct? A - Black-box testing involves detailed checking of each line in the code. B - Unit-testing helps to uncover errors in the codes. C - System testing should not be performed prior to unit-testing.,,B and C only,A only,B only ,C only ,A and C only ,
115. You are requested to create 16 subnets with a Class C IP. Which subnet mask is suited to create the subnet?,,255.255.255.240 ,255.255.255.248,255.255.255.250,255.255.255.252 ,255.255.255.224,
