question_id,question_text,ideal_answer,keywords_main,keywords_optional,marks,Topics
Q13,What is 'Process Management' in an OS?,"It involves managing the creation, scheduling, and termination of processes (programs in execution) by the CPU.",creation scheduling termination | programs in execution,CPU scheduling | process,,Operating Systems
Q14,Define 'Context Switching'.,Context switching is the process of storing the state of a process or thread so that it can be restored and resume execution later.,storing state |  resume execution | process thread,CPU | multitasking,,Operating Systems
Q15,What is 'Virtual Memory'?,Virtual memory is a memory management capability of an OS that uses hardware and software to allow a computer to compensate for physical memory shortages by temporarily transferring data to disk storage.,memory management | compensate shortages | transfer to disk,paging | RAM extension,,Operating Systems
Q16,What is 'Fragmentation' in memory management?,"Fragmentation is a phenomenon where storage space is used inefficiently, reducing capacity or performance (can be internal or external).",storage used inefficiently |reducing capacity,memory holes |internal external,,Operating Systems
Q17,What is a 'Device Driver'?,A device driver is a computer program that operates or controls a particular type of device that is attached to a computer.,operates controls device |attached to computer,hardware interface |software,,Operating Systems
Q18,What is 'Spooling'?,"Spooling is a process where data is temporarily held to be used and executed by a device, program, or system (common in printing).",temporarily held |executed by device,buffer | printing,,Operating Systems
Q19,Define 'Data Transmission Speed' (Bandwidth).,"It refers to the maximum rate of data transfer across a given path, typically measured in bits per second (bps).","maximum rate | data transfer, bits per second",bps | capacity,,Networking
Q20,What is 'Simplex Mode' in transmission?,"In simplex mode, communication is unidirectional; data flows in only one direction (e.g., Radio broadcasting).",unidirectional | one direction,transmission mode| broadcasting,,Networking
Q21,What is 'Half-Duplex Mode'?,"Data can be transmitted in both directions, but not at the same time (e.g., Walkie-Talkie).",both directions | not same time,bidirectional | walkie-talkie,,Networking
Q22,What is 'Full-Duplex Mode'?,"Data can be transmitted in both directions simultaneously (e.g., Telephone conversation).",both directions | simultaneously,bidirectional | telephone,,Networking
Q23,What is 'Multiplexing'?,Multiplexing is a method by which multiple analog or digital signals are combined into one signal over a shared medium.,combine multiple signals | one signal | shared medium,MUX | transmission,,Networking
Q24,What is 'Guided Media'?,"Guided media uses a physical path (cables) to transmit signals, such as twisted pair, coaxial cable, or fiber optics.",physical path | cables,wired | transmission medium,,Networking
Q25,What is 'Fiber Optic' cable?,"A cable containing glass or plastic fibers that transmit data using light pulses, offering high speed and long-distance transmission.",glass plastic fibers | light pulses | high speed,transmission medium | total internal reflection,,Networking
Q26,What is the 'OSI Model'?,"The Open Systems Interconnection (OSI) model is a conceptual framework used to describe the functions of a networking system, divided into 7 layers",conceptual framework | networking functions | 7 layers,ISO | network architecture,,Networking
Q27,Name the 7 layers of the OSI model.,"Physical, Data Link, Network, Transport, Session, Presentation, Application.",Physical Data Link Network Transport Session Presentation Application,7 layers | hierarchy,,Networking
Q28,What is the function of the 'Network Layer'?,It is responsible for determining the path (routing) and logical addressing (IP addressing) of data packets.,routing | logical addressing |  IP address,path determination | layer 3,,Networking
Q29,What is a 'MAC Address'?,A Media Access Control (MAC) address is a unique identifier assigned to a network interface controller (NIC) for use as a network address.,unique identifier | NIC | network address,physical address | hardware address,,Networking
Q30,What is an 'IP Address'?,An Internet Protocol (IP) address is a numerical label assigned to each device connected to a computer network that uses the Internet Protocol for communication.,numerical label | device network | communication,logical address |IPv4 IPv6,,Networking
Q31,What is a 'Router'?,A router is a networking device that forwards data packets between computer networks.,forwards data packets | between networks,networking device | routing,,Networking
Q32,What is 'Packet Switching'?,"A method of grouping data that is transmitted over a digital network into packets, which are sent independently and reassembled at the destination.",grouping data | packets | independent transmission,network | efficient,,Networking
Q33,Define 'Systems Development Life Cycle' (SDLC).,"SDLC is a process for planning, creating, testing, and deploying an information system.",planning creating testing deploying | information system,software development |  phases,,Systems Analysis
Q34,What is the 'Waterfall Model'?,"It is a linear sequential design approach for software development where progress flows downwards through phases like requirements, analysis, design, implementation, and testing.",linear sequential | flows downwards | phases,SDLC model | traditional,,Systems Analysis
Q35,What is a 'Feasibility Study'?,"An assessment of the practicality of a proposed project or system (Technical, Economic, Operational).",assessment practicality | proposed project,analysis |  TELOS,,Systems Analysis
Q36,What are 'Functional Requirements'?,Requirements that define specific behaviors or functions of the system (what the system should do).,define specific behaviors |  functions | what system does,requirements analysis | input output,,Systems Analysis
Q37,What are 'Non-Functional Requirements'?,"Requirements that specify criteria that can be used to judge the operation of a system (how the system performs), like security or speed.",judge operation | how system performs,performance | security reliability,,Systems Analysis
Q38,What is a 'Database Management System' (DBMS)?,"A DBMS is software that interacts with end-users, applications, and the database itself to capture and analyze data.",software | interacts users applications database |  capture analyze,software tool |  manage data,,DBMS
Q39,What is an 'ER Diagram' (ERD)?,An Entity-Relationship Diagram shows the relationships of entity sets stored in a database using graphical symbols.,relationships of entity sets | graphical symbols,database design | modeling,,DBMS
Q40,What is an 'Entity' in a database?,"An entity is an object or concept in the real world that is distinguishable from all other objects (e.g., Student, Car).",object concept | real world | distinguishable,table | record,,DBMS
Q41,What is an 'Attribute' in an ERD?,"An attribute is a property or characteristic of an entity (e.g., Student Name, Age).",property characteristic | of entity,column | field,,DBMS
Q42,Define 'Normalization' in databases.,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity.,organizing data | reduce redundancy |  improve integrity,database design | 1NF 2NF 3NF,,DBMS
Q43,What is 'Data Redundancy'?,"It is the unnecessary repetition of data within a database, which can lead to inconsistencies.",unnecessary repetition |  database,duplicate data | storage waste,,DBMS
Q44,What is 'SQL' (Structured Query Language)?,"SQL is a standard language for storing, manipulating, and retrieving data in databases.",standard language |  storing manipulating retrieving,database language | queries,,DBMS
Q45,What is a 'Primary Key'?,A primary key is a specific choice of a minimal set of attributes (columns) that uniquely specify a tuple (row) in a relation (table).,minimal set attributes | uniquely specify row,unique identifier | database constraint,,DBMS
Q46,What is a 'Foreign Key'?,"A foreign key is a field in one table that refers to the primary key in another table, creating a link between the two tables.",refers to primary key | link tables,relationship | constraint,,DBMS
Q47,What is the 'prototype' model in SDLC?,"A development model where a prototype (an early approximation of a final system or product) is built, tested, and then reworked as necessary.",prototype |  early approximation | reworked,iterative | user feedback,,Systems Analysis
Q48,What is 'Black Box Testing'?,A software testing method in which the internal structure/design/implementation of the item being tested is not known to the tester.,internal structure not known |testing method,functional testing | input output,,Systems Analysis
Q49,What is 'White Box Testing'?,A testing method where the internal structure/design/implementation of the item being tested is known to the tester.,internal structure known |  testing method,structural testing |logic coverage,,Systems Analysis
Q50,What is 'Parallel Deployment'?,A deployment method where the new system and the old system run simultaneously for a period of time to ensure the new system works correctly,run simultaneously | new and old system,implementation | safe,,Systems Analysis
Q51,What is 'Direct Cutover' deployment?,"A deployment method where the old system is stopped and the new system is started immediately, usually on a specific date.",old stopped new started | immediately,implementation | risky,,Systems Analysis
Q52,What is a 'Star Topology'?,A network topology where all devices are connected to a central hub or switch via individual cables.,central hub | connected individually,switch | reliability,,Networking
Q53,Describe 'Bus Topology'.,A network setup where each computer and network device is connected to a single cable or backbone.,single cable |  backbone,terminator | coaxia,,Networking
Q54,What is 'Ring Topology'?,"A network configuration where device connections create a circular data path, with each networked device connected to two others.",circular data path |  connected to two others,token passing | unidirectional,,Networking
Q55,What is 'TCP/IP'?,Transmission Control Protocol/Internet Protocol is the suite of communication protocols used to connect host computers on the Internet.,communication protocols | connect hosts Internet,suite | data transmission,,Networking
Q56,What is the function of 'DNS' (Domain Name System)?,DNS translates human-readable domain names (like www.google.com) into IP addresses that computers use to identify each other.,translates domain names | IP addresses,mapping |resolution,,Networking
Q57,What is 'DHCP' (Dynamic Host Configuration Protocol)?,A network management protocol used to automatically assign IP addresses and other communication parameters to devices connected to the network.,automatically assign | IP addresses,network management |dynamic IP,,Networking
Q58,Difference between LAN and WAN.,"A LAN (Local Area Network) connects devices within a limited area like a home or office, while a WAN (Wide Area Network) covers a large geographic area.",limited area vs large geographic area,home office vs cities countries,,Networking
Q59,What is 'Client-Server Architecture'?,A network architecture where tasks are partitioned between service providers (servers) and service requesters (clients).,servers provide | clients request,centralized | distributed,,Networking
Q60,What is 'Peer-to-Peer' (P2P) network?,"A decentralized network architecture where each computer can act as both a client and a server, sharing resources directly without a central server.",decentralized |  act as client and server,no central server | file sharing,,Networking
Q61,Define 'Data Flow Diagram' (DFD).,"A graphical representation of the ""flow"" of data through an information system, modeling its process aspects.",flow of data | graphical representation,process modeling | inputs outputs,,Systems Analysis
Q62,What is a 'Context Diagram' (Level 0 DFD)?,"The highest level view of a system, showing the system as a single process and its interaction with external entities.",highest level | single process,external entities | boundaries,,Systems Analysis
Q63,What represents a 'Data Store' in a DFD?,"A data store represents a repository where data is stored for later use, depicted by an open-ended rectangle.",repository | stored data,database | file,,Systems Analysis
Q64,What is an 'External Entity' in Systems Analysis?,"A source or destination of data that is outside the boundaries of the system being studied (e.g., Customer, Supplier).",source or destination |  outside boundaries,interacting system |user,,Systems Analysis
Q65,What is a 'Candidate Key'?,"A candidate key is a column, or set of columns, in a table that can uniquely identify any database record without referring to any other data.",uniquely identify | database record,potential primary key |minimal,,DBMS
Q66,What is a 'Composite Key'?,A primary key that consists of two or more columns/attributes to uniquely identify a record.,two or more columns | uniquely identify,multiple attributes | primary key,,DBMS
Q67,Define 'Cardinality' in ER Diagrams.,"Cardinality defines the numerical attributes of the relationship between two entities (e.g., one-to-one, one-to-many).",numerical attributes |relationship,mapping | 1:1 1:N M:N,,DBMS
Q68,What is a 'One-to-Many' relationship?,"A relationship where a single record in Table A can be related to one or more records in Table B, but a record in Table B is related to only one record in Table A.",single record related to multiple | multiple related to one,parent-child | most common,,DBMS
Q69,What is DDL (Data Definition Language)?,"A subset of SQL used to define the database structure or schema (e.g., CREATE, ALTER, DROP).",define database structure | schema,CREATE | ALTER | DROP,,DBMS
Q70,What is DML (Data Manipulation Language)?,"A subset of SQL used for adding, retrieving, updating, and deleting data within the database (e.g., SELECT, INSERT).",managing data |  adding retrieving updating,INSERT | UPDATE | DELETE,,DBMS
Q71,What is '1NF' (First Normal Form)?,A property of a relation in a relational database where the table has no repeating groups and all attributes are atomic,no repeating groups | atomic attributes,unique rows | normalization,,DBMS
Q72,What is '2NF' (Second Normal Form)?,A relation is in 2NF if it is in 1NF and every non-primary key attribute is fully functionally dependent on the primary key (no partial dependency).,1NF | no partial dependency,fully dependent | primary key,,DBMS
Q73,What is '3NF' (Third Normal Form)?,A relation is in 3NF if it is in 2NF and has no transitive dependencies (non-key attributes depend only on the primary key).,2NF | no transitive dependency,non-key attributes | direct dependency,,DBMS
Q74,What is the 'Waterfall Model'?,"A linear sequential software development life cycle (SDLC) model where progress flows downwards through phases like requirements, design, implementation, and maintenance.",linear sequential | flows downwards,traditional | structured,,Systems Analysis
Q75,What is 'Prototyping' in SDLC?,An iterative development technique where a preliminary version of the software is created to get user feedback before full development.,preliminary version | user feedback,iterative | model,,Systems Analysis
Q76,What is 'Phased Implementation'?,A deployment strategy where the new system is implemented in stages or modules across the organization rather than all at once.,stages | modules,gradual | risk reduction,,Systems Analysis
Q77,What is 'Parallel Implementation'?,Running both the old and new systems simultaneously for a period to ensure the new system functions correctly before turning off the old one.,running simultaneously | old and new,risk reduction |  comparison,,Systems Analysis
Q78,What is an HTML 'Attribute'?,"Additional information provided within the start tag of an HTML element to modify its behavior or presentation (e.g., src, href).",additional information | start tag,modifier | properties,,Web Technologies
Q79,What does the <ul> tag create?,"It creates an unordered list, typically displayed with bullet points.",unordered list | bullet points,list items | li,,Web Technologies
Q80,What does the <ol> tag create?,"It creates an ordered list, typically displayed with numbers or letters.",ordered list |  numbers,sequence | li,,Web Technologies
Q81,What is 'Internal CSS'?,"CSS styles defined within the <style> element, inside the <head> section of an HTML page.",style element | head section,single page | formatting,,Web Technologies
Q82,What is 'Inline CSS'?,CSS styles applied directly to an HTML element using the style attribute.,applied directly | style attribute,specific element | priority,,Web Technologies
Q83,What is an 'Interpreter' in Python?,"A program that reads and executes Python code line by line, converting it into machine-readable bytecode on the fly.",executes line by line | reads code,translation | script execution,,Programming
Q84,What is the function of print() in Python?,It displays the specified message or value to the standard output device (screen).,displays message | output to screen,standard output | show data,,Programming
Q85,What is the function of input() in Python?,"It allows the user to enter data from the keyboard, which is returned as a string.",enter data |  keyboard,read input | returns string,,Programming
Q86,What is a 'Float' data type in Python?,"A data type used to represent real numbers with a decimal point (e.g., 3.14, -0.01).",real numbers |  decimal point,fractional | numeric,,Programming
Q87,What represents a 'String' in Python?,"A sequence of characters enclosed in single (') or double ("") quotes.",sequence of characters | quotes,text |  literal,,Programming
Q88,How do you create a comment in Python?,By using the hash symbol (#) at the beginning of the line or code block.,hash symbol | #,ignore | documentation,,Programming
Q89,What is 'Indentation' in Python?,"Whitespace at the beginning of a line used to define the scope of loops, functions, and control structures (blocks of code).",whitespace |  define scope,code block | formatting,,Programming
Q90,What is an 'Assignment Operator' (=)?,"It is used to assign a value to a variable (e.g., x = 5).",assign value |  variable,storage | definition,,Programming
Q91,What does the if statement do?,It is a control flow statement that executes a block of code only if a specified condition is true.,executes block |  condition is true,decision making | conditional,,Programming
Q92,What is the else statement?,A conditional statement that executes a block of code if the condition in the preceding if statement is false.,executes if false | preceding if,alternative | fallback,,Programming
Q93,What is elif in Python?,"Short for ""else if"", it allows you to check multiple expressions for TRUE and execute a block of code as soon as one of the conditions evaluates to TRUE.",else if | multiple expressions,chaining conditions | logic,,Programming
Q94,What does the and logical operator do?,It returns True only if both operands or conditions are True.,True if both True |  logical conjunction,boolean | condition,,Programming
Q95,What does the or logical operator do?,It returns True if at least one of the operands or conditions is True.,True if at least one True |  logical disjunction,boolean | condition,,Programming
Q96,What is a 'Variable' in programming?,A named storage location in memory used to hold a value that can be changed during program execution.,named storage | hold value,memory | identifier,,Programming
Q97,What is 'Source Code'?,The human-readable instructions written by a programmer in a high-level programming language.,human-readable instructions | programmer written,text file |  logic,,Programming
Q98,What is 'Object Code'?,The machine-readable code (binary) produced by a compiler or assembler from source code.,machine-readable  |  binary,executable | output,,Programming
Q99,What is a 'Compiler'?,A program that translates the entire source code into machine code (object code) at once before execution.,translates entire code |  at once,translation |  optimization,,Programming
Q100,What is 'Systems Software'?,"Software designed to provide a platform for other software, including operating systems and utility programs.",platform for other software | OS utilities,hardware management | core,,Operating Systems
Q101,What is 'Application Software'?,"A program or group of programs designed for end-users to perform specific tasks (e.g., Word processors, Web browsers).",end-users | specific tasks,productivity | apps,,Operating Systems
Q102,What is the function of analogWrite() in Arduino?,"It writes an analog value (PWM wave) to a pin, typically used to fade an LED or control motor speed.",writes analog value |  PWM wave | control speed,fade LED | output,,IoT
Q103,What is Pulse Width Modulation (PWM)?,PWM is a technique for getting analog results with digital means by turning the digital output on and off very fast.,analog results with digital | turning on and off fast,duty cycle | signal modulation,,IoT
Q104,Why is a resistor used with an LED in Arduino circuits?,To limit the current flowing through the LED so that it does not burn out.,limit current | prevent burn out,protection | voltage drop,,IoT
Q105,What is the purpose of the delay() function in Arduino?,It pauses the program for the amount of time (in milliseconds) specified as a parameter.,pauses program | time in milliseconds,wait | timing,,IoT
Q106,What is the Serial.println() function used for?,It prints data to the serial port as human-readable ASCII text followed by a carriage return character (new line).,"prints data | new line, serial port",output  | debugging,,IoT
Q107,Define 'Syntax Error' in programming.,An error in the source code of a program caused by violating the language's grammatical rules.,violating grammatical rules |  source code error,compile error |  structure,,Programming
Q108,What is the purpose of the open() function in Python?,"It opens a file and returns a file object, which allows reading, writing, or appending to the file.",opens file | returns file object,file handling |  read write,,Programming
Q109,"What does file mode ""r"" signify in Python?",It opens a file for reading only; this is the default mode.,read only |  default mode,file handling | input,,Programming
Q110,"What does file mode ""a"" signify in Python?",It opens a file for appending; data is written to the end of the file without overwriting existing content.,"appending, end of file | no overwriting",file handling | add data,,Programming
Q111,What is the function of f.read() in Python?,It reads the entire content of the file (or a specified number of characters) and returns it as a string.,reads content | returns string,file operation |  read all,,Programming
Q112,What does the readline() method do?,It reads a single line from the file,reads single line | file,line by line |  iteration,,Programming
Q113,How do you remove a file in Python?,You use the os.remove() function after importing the os module.,os.remove() |  import os,delete file | file system,,Programming
Q114,What is a 'Logic Gate'?,"A logic gate is an idealized or physical device implementing a Boolean function, performing a logical operation on one or more binary inputs.",Boolean function | logical operation |  binary inputs,AND OR NOT |  digital circuit,,Building Blocks of IS
Q115,State De Morgan's First Law.,The complement of the product of two variables is equal to the sum of their complements ((AB)' = A' + B').,complement of product |  sum of complements,boolean algebra |  NAND,,Building Blocks of IS
Q116,State De Morgan's Second Law.,The complement of the sum of two variables is equal to the product of their complements ((A+B)' = A' . B').,complement of sum |  product of complements,boolean algebra | NOR,,Building Blocks of IS
Q117,What is a 'Half Adder'?,A digital circuit that adds two single binary digits and produces a sum and a carry.,adds two binary digits |  sum and carry,combinational logic | arithmetic,,Building Blocks of IS
Q118,What is a 'Full Adder'?,A digital circuit that adds three binary digits (two significant bits and an input carry) to produce a sum and a carry.,adds three digits | input carry | sum carry,arithmetic circuit | logic,,Building Blocks of IS
Q119,What is 'Karnaugh Map' (K-Map)?,A graphical method used for simplifying Boolean algebra expressions,simplifying Boolean expressions |  graphical method,minimization | logic design,,Building Blocks of IS
Q120,What is 'ASCII'?,American Standard Code for Information Interchange; a character encoding standard for electronic communication,character encoding  |  standard,text representation |  7-bit,,Data Representation
Q121,What is 'BCD' (Binary Coded Decimal)?,"A class of binary encodings of decimal numbers where each decimal digit is represented by a fixed number of bits, usually four.",decimal digit |  fixed number of bits,4-bit |  encoding,,Data Representation
Q122,What is 'Sign-Magnitude' representation?,A method for representing signed numbers where the most significant bit (MSB) is the sign bit and the remaining bits represent the magnitude.,sign bit | magnitude,signed numbers |  binary,,Data Representation
Q123,What is 'One's Complement'?,A method of representing negative binary numbers by inverting all the bits of the positive number.,inverting all bits |  negative representation,bitwise NOT |  binary arithmetic,,Data Representation
Q124,What is 'Two's Complement'?,A method for representing signed integers where negative numbers are obtained by inverting bits and adding one to the least significant bit.,inverting bits adding one | signed integers,negative numbers | subtraction,,Data Representation
Q125,What is the 'Fetch-Execute Cycle'?,"The basic operation cycle of a computer where the CPU retrieves a program instruction from memory, determines what actions the instruction requires, and carries out those actions.",retrieves instruction | determines actions |  carries out,CPU cycle | instruction cycle,,Building Blocks of IS
Q126,What is 'Clock Speed' in a CPU?,"The rate at which a processor executes instructions, typically measured in Hertz (Hz) or Gigahertz (GHz).",rate executes instructions |  Hertz,frequency |  performance,,Building Blocks of IS
Q127,What is 'Cache Memory'?,"A small-sized type of volatile computer memory that provides high-speed data access to a processor and stores frequently used computer programs, applications, and data.",high-speed data access |  stores frequently used data,CPU memory |  L1 L2 L3,,Building Blocks of IS
Q128,Define 'Bandwidth' in networking.,"The maximum rate of data transfer across a given path, usually measured in bits per second.",maximum rate | data transfer,capacity |  speed,,Networking
Q129,What is 'Throughput'?,The actual amount of data that is successfully moved from one place to another in a given time period.,actual data moved |  given time,network performance | real speed,,Networking
Q130,What is 'Latency' in a network?,The time it takes for a data packet to travel from its source to its destination.,time to travel | source to destination,delay | ping,,Networking
Q131,What is 'Simplex' transmission?,"A communication mode where data flows in only one direction (e.g., Radio broadcasting).",one direction only | unidirectional,radio | tv,,Networking
Q132,What is 'Half-Duplex' transmission?,"A communication mode where data can flow in both directions, but not simultaneously (e.g., Walkie-talkie).",both directions not simultaneously | walkie-talkie,two-way | alternating,,Networking
Q133,What is 'Full-Duplex' transmission?,"A communication mode where data can flow in both directions simultaneously (e.g., Telephone).",both directions simultaneously |  telephone,two-way | simultaneous,,Networking
Q134,What is a 'MAC Address'?,A unique identifier assigned to a network interface controller (NIC) for use as a network address in communications within a network segment.,unique identifier |  NIC | network address,physical address |  hardware ID,,Networking
Q135,What is an 'IP Address'?,A numerical label assigned to each device connected to a computer network that uses the Internet Protocol for communication.,numerical label |  network device | communication,logical address |  IPv4,,Networking
Q136,What is the function of a 'Router'?,A networking device that forwards data packets between computer networks.,forwards packets |  between networks,gateway |  path determination,,Networking
Q137,What is the function of a 'Switch'?,A networking device that connects devices within a network (LAN) and uses MAC addresses to forward data to the correct destination.,connects devices|  LAN | uses MAC addresses,packet switching | filtering,,Networking
Q138,What is 'Structured Query Language' (SQL)?,"A standard language for storing, manipulating, and retrieving data in databases.",standard language |  databases,query | CRUD,,DBMS
Q139,What is the CREATE TABLE command used for?,It is used to create a new table in a database.,create new table | database,DDL |  schema,,DBMS
Q140,What does the DROP TABLE command do?,It deletes an existing table and all its data from the database.,deletes table |  removes data,DDL |  delete structure,,DBMS
Q141,What is the ALTER TABLE command used for?,"It is used to add, delete, or modify columns in an existing table.",modify columns |  existing table,DDL |  change structure,,DBMS
Q142,What is a 'Candidate Key'?,"A column, or set of columns, in a table that can uniquely identify any database record without referring to any other data.",uniquely identify |  minimal set,potential primary key |  unique,,DBMS
Q143,What is 'Referential Integrity'?,"A property of data stating that all of its references are valid; essentially, a foreign key value must match a primary key value in the parent table.",valid references |  foreign key matches primary,consistency |  database constraint,,DBMS
Q144,What is 'Normalization' in databases?,The process of organizing data in a database to reduce redundancy and improve data integrity.,organizing data | reduce redundancy,1NF 2NF 3NF|  design,,DBMS
Q145,What is the 'Waterfall Model' in SDLC?,"A sequential design process where progress is seen as flowing steadily downwards through phases like Requirements, Analysis, Design, Implementation, and Maintenance.",sequential process |  flowing downwards,SDLC | linear,,Systems Analysis
Q146,What is the 'Spiral Model'?,A risk-driven software development process model that combines elements of both design and prototyping in stages.,risk-driven |  combines design prototyping,iterative | large projects,,Systems Analysis
Q147,What is 'Black Box Testing'?,A method of software testing that examines the functionality of an application without peering into its internal structures or workings,examines functionality | internal structure unknown,input output |  functional testing,,Systems Analysis
Q148,What is 'White Box Testing'?,"A testing method that tests internal structures or workings of an application, as opposed to its functionality.",tests internal structures | workings known,structural testing | code logic,,Systems Analysis
Q149,What is 'Unit Testing'?,A level of software testing where individual units/components of a software are tested.,individual units | components tested,smallest part | developer test,,Systems Analysis
Q150,What is 'System Testing'?,"Testing conducted on a complete, integrated system to evaluate the system's compliance with its specified requirements",complete integrated system | compliance requirements,end-to-end | verification,,Systems Analysis
Q151,What is 'Acceptance Testing'?,"Formal testing with respect to user needs, requirements, and business processes conducted to determine whether or not a system satisfies the acceptance criteria.",user needs | satisfies criteria,UAT | final testing,,Systems Analysis
Q152,What is the function of the 'Program Counter' (PC)?,It holds the memory address of the next instruction to be fetched and executed by the CPU.,holds memory address | next instruction,register | CPU,,Building Blocks of IS
Q153,What is the 'Accumulator' in a CPU?,It is a register in the ALU that holds intermediate arithmetic and logic results during processing.,register | holds intermediate results,ALU | storage,,Building Blocks of IS
Q154,What is the 'Instruction Register' (IR)?,It is a register that holds the current instruction being executed or decoded.,holds current instruction |  being executed,register | decoding,,Building Blocks of IS
Q155,What is the function of the 'Memory Address Register' (MAR)?,It holds the address of the memory location where data is to be read from or written to,holds address | memory location,read write |  CPU,,Building Blocks of IS
Q156,What is the 'Memory Data Register' (MDR)?,It holds the data being transferred to or from the memory (RAM).,holds data | transferred to/from memory,buffer |  storage,,Building Blocks of IS
Q157,Define 'System Bus'.,"A system bus is a single computer bus that connects the major components of a computer system, combining the functions of a data, address, and control bus.",connects major components | combines buses,communication |  pathway,,Building Blocks of IS
Q158,What is the 'Data Bus'?,"A bidirectional bus used to transfer actual data between the CPU, memory, and I/O devices.",transfer actual data |  bidirectional,CPU memory I/O |  path,,Building Blocks of IS
Q159,What is the 'Address Bus'?,A unidirectional bus used by the CPU to specify the physical address of the memory location it wants to access.,specify physical address|  unidirectional,memory location |  CPU,,Building Blocks of IS
Q160,What is the 'Control Bus'?,"A bus used by the CPU to communicate with other devices by transmitting control signals (e.g., read/write).",transmit control signals | communicate,read write |  timing,,Building Blocks of IS
Q161,What is 'SRAM' (Static RAM)?,A type of volatile memory that uses flip-flops to hold data and is faster but more expensive than DRAM; often used for Cache.,volatile | flip-flops | faster,cache memory |  expensive,,Building Blocks of IS
Q162,What is 'DRAM' (Dynamic RAM)?,A type of volatile memory that uses capacitors to store data and requires periodic refreshing; used for main system memory.,volatile |  capacitors |  periodic refreshing,main memory | cheaper,,Building Blocks of IS
Q163,What is 'ROM' (Read-Only Memory)?,Non-volatile memory that stores permanent data or instructions (firmware) required to boot the computer.,non-volatile |  permanent data |  boot instructions,firmware | BIOS,,Building Blocks of IS
Q164,What is 'BIOS' (Basic Input/Output System)?,Firmware stored on a ROM chip that initializes and tests hardware during the boot process (POST).,firmware |  initializes hardware |  boot process,POST |  ROM,,Building Blocks of IS
Q165,What is 'CMOS' memory?,"A small amount of memory on a computer motherboard that stores the BIOS settings (time, date, hardware info), powered by a battery.",stores BIOS settings |  powered by battery,time date |  configuration,,Building Blocks of IS
Q166,Define 'Access Time' in memory.,The time interval between the request for data and the delivery of data from the memory.,time interval |  request to delivery,speed |  latency,,Building Blocks of IS
Q167,What is 'Seek Time' in hard disks?,The time taken for the read/write head to move to the specific track on the disk.,time taken |  head move to track,disk performance |  latency,,Building Blocks of IS
Q168,What is 'Rotational Latency'?,The time waiting for the disk sector to rotate under the read/write head.,The time waiting for the disk sector to rotate under the read/write head.,disk delay |  milliseconds,,Building Blocks of IS
Q169,What is 'Flash Memory'?,"A type of non-volatile electronic storage media that can be electrically erased and reprogrammed (e.g., USB drives, SSDs).",non-volatile |  electrically erased reprogrammed,SSD |  USB,,Building Blocks of IS
Q170,What is an 'Interrupt' in OS?,A signal to the processor emitted by hardware or software indicating an event that needs immediate attention.,signal to processor |  immediate attention,hardware software|  handler,,Operating Systems
Q171,What is 'Polling'?,A process where the CPU steadily checks whether a device needs attention or has changed state.,CPU checks|  device needs attention,active waiting | method,,Operating Systems
